Complaint Year Number;Month Number;Record Create Date;Complaint Precinct Code;County;Law Code Category Description;Offense Description;Bias Motive Description;Offense Category;Arrest Date
2022;1;01.02.2022;110;QUEENS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;
2022;2;02.12.2022;112;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2022;6;06.08.2022;112;QUEENS;MISDEMEANOR;PETIT LARCENY;ANTI-CATHOLIC;Religion/Religious Practice;
2021;4;04/21/2021;18;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;
2021;9;09/22/2021;19;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;
2021;12;12.08.2021;22;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2021;5;05/17/2021;25;NEW YORK;FELONY;FELONY ASSAULT;ANTI-WHITE;Race/Color;
2021;10;10.03.2021;25;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2021;11;11.07.2021;62;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2021;10;10/20/2021;68;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2021;5;05/25/2021;73;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-WHITE;Race/Color;
2021;3;03/29/2021;75;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;
2021;12;12/19/2021;77;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2021;3;03/19/2021;88;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;
2021;3;03/20/2021;88;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;
2021;2;02.03.2021;90;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2021;9;09.11.2021;112;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2021;11;11.11.2021;114;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2021;5;05/22/2021;120;RICHMOND;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2021;8;08.05.2021;120;RICHMOND;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;1;02/23/2022;19;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2022;3;03.04.2022;26;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;
2022;3;03/19/2022;34;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;
2022;8;08.11.2022;40;BRONX;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-TRANSGENDER;Gender;
2022;5;05/18/2022;41;BRONX;FELONY;FELONY ASSAULT;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;
2022;8;08/27/2022;60;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2022;4;04/29/2022;61;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;1;01.09.2022;62;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-CATHOLIC;Religion/Religious Practice;
2022;3;03/22/2022;67;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2022;7;07/18/2022;69;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;
2022;5;05/25/2022;70;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;10;10/24/2022;70;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;7;07.11.2022;77;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;
2022;5;05/17/2022;79;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;
2022;1;01.05.2022;83;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;5;06.01.2022;84;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2022;10;10/19/2022;78;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-OTHER ETHNICITY;Ethnicity/National Origin/Ancestry;
2022;4;04/24/2022;79;KINGS;FELONY;GRAND LARCENY;ANTI-JEWISH;Religion/Religious Practice;
2022;1;01/19/2022;84;KINGS;FELONY;FELONY ASSAULT;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;
2022;12;12.03.2022;88;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;
2022;6;06/27/2022;102;QUEENS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-MUSLIM;Religion/Religious Practice;
2022;7;07/19/2022;103;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;10;10/20/2022;109;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-RELIGIOUS PRACTICE GENERALLY;Religion/Religious Practice;
2022;7;07/26/2022;114;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;
2022;9;09/20/2022;121;RICHMOND;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2021;4;04/19/2021;123;RICHMOND;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2022;3;03.03.2022;5;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-ASIAN;Race/Color;
